A,B,C,D,E,F,G
商品编号,商品名称,二级分类,三级分类,首次入库时间,销量7天band,点击7天band
10076491,传播学概论/21世纪新闻与传播学系列教材,大中专教材教辅,大学教材,2010/10/30,F,F
10076664,英美判例百选,法律,外国法律与港澳台法律,2010/12/14,E,E
10076735,国际礼仪,励志与成功,文明礼仪,2010/10/24,F,F
10076775,自然哲学之数学原理,科普读物,数理化,2010/10/24,F,D
10076928,中华文明史（第1卷）,文化,文化史,2010/10/30,F,E
10077226,地缘政治学：二分论及其超越·兼论地缘整合中的中国选择,政治/军事,中国政治,2010/10/31,E,F
10077230,法理学基础,法律,理论法学,2010/10/29,F,F
10077395,事业单位治理结构与绩效评估,管理,人力资源管理,2010/10/30,F,E
10077401,书香五院：北大中文系叙录,文学,散文/随笔/书信,2010/10/24,F,F
10077525,北大版对外汉语教材·听力教程系列·原声汉语：初级实况听力教程,大中专教材教辅,大学教材,2010/10/31,E,E
10077576,中国民族自治地方公共管理导论/21世纪公共管理学系列教材,大中专教材教辅,大学教材,2010/10/31,F,E
10078018,遗珠偶拾：中国现代文学史札记,文学,文学理论,2010/10/31,F,E
10078138,什么是医学史,医学,医学理论与研究,2010/10/30,F,E
10078139,实用生态批评：文学、生物学及环境,文学,文学评论与研究,2010/10/31,F,E
10078204,2010年注册会计师考试过关必做800题（税法）（附学习卡1张）,考试,会计类考试,- ,F,F
10078254,我的中文小故事40：会跳街舞的中文老师（注音版）（附CD-ROM光盘1张）,童书,学前教育,2010/10/25,F,E
10078337,现代汽车新技术概论/21世纪全国高等院校汽车类创新型应用人才培养规划教材,大中专教材教辅,大学教材,2010/10/31,F,F
10078368,物流运输管理/21世纪全国高职高专物流管理系列实用规划教材,大中专教材教辅,高职高专教材,2010/10/31,F,F
10152322,汉字形义分析字典,字典词典/工具书,汉语字典,- ,F,E
10152449,新中国外交思想从毛泽东到邓小平：毛泽东、周恩来、邓小平外交思想比较研究,政治/军事,政治理论,- ,F,E
10152513,世界文学简史（修订版）,大中专教材教辅,大学教材,- ,F,F
